"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.860638040E-1,8.839500546E-1,1.038000107E0,9.940950394E0,1.003400751E1
4.885291310E-1,9.150000215E-1,1.041000009E0,9.900000572E0,9.996545273E0
4.909945920E-1,9.390000701E-1,1.090950012E0,9.898050308E0,1.000216441E1
4.934601310E-1,8.839500546E-1,1.069950104E0,9.919050217E0,1.001567362E1
4.959256690E-1,9.319500327E-1,1.078950047E0,9.895050049E0,9.997233594E0
4.983912850E-1,9.319500327E-1,1.084050059E0,9.879000664E0,9.981901097E0
5.008565100E-1,8.980500698E-1,1.137000084E0,9.952950478E0,1.005785695E1
5.033219720E-1,9.120000601E-1,1.081950068E0,9.946050644E0,1.004620742E1
5.057872800E-1,8.839500546E-1,1.105949998E0,9.912000656E0,1.001260456E1
5.082530490E-1,9.240000248E-1,1.150950074E0,9.891000748E0,1.000051788E1
5.107183570E-1,9.220500588E-1,1.081950068E0,9.898050308E0,9.999609601E0
5.131838950E-1,9.270000458E-1,1.089000106E0,9.964950562E0,1.006704972E1
5.156496640E-1,9.010500312E-1,1.074000001E0,9.960000038E0,1.005817916E1
5.181152030E-1,8.890500665E-1,1.098000050E0,9.888000488E0,9.988421686E0
5.205808180E-1,9.049500227E-1,1.081950068E0,9.904950142E0,1.000487820E1
5.230466640E-1,9.240000248E-1,1.102950096E0,9.924000740E0,1.002776474E1
5.255121160E-1,9.600000381E-1,1.078950047E0,9.931050301E0,1.003551161E1
5.279779620E-1,9.580500722E-1,1.093950033E0,9.912000656E0,1.001810080E1
5.304435010E-1,9.340500236E-1,1.072050095E0,9.910050392E0,1.001153533E1
5.329090390E-1,9.529500604E-1,1.045950055E0,9.958050728E0,1.005807634E1
5.353746540E-1,9.289500713E-1,1.062000036E0,9.931050301E0,1.003078025E1
5.378401070E-1,8.790000677E-1,1.105949998E0,9.960000038E0,1.005969022E1
5.403056450E-1,9.049500227E-1,1.098000050E0,9.936000824E0,1.003736275E1
5.427709530E-1,9.289500713E-1,1.108050108E0,9.922050476E0,1.002685439E1
5.452364920E-1,9.390000701E-1,1.108050108E0,9.943050385E0,1.004856941E1
